FileName,SOC,SiO,D,A,Q_Leak_Rel,Q_Leak_abs,Q_Leakage,Q_irr_abs,Q_irr_Rel,Q_irr,Ratio,Q_tot
15% Si-SOC 50%-D2,50,15,2,1,82.1194,-1.9666,0.4282,-9.4,52.1277,-9.4,-21.95,202.16
15% Si-SOC 50%-D3,50,15,3,2,19.6134,-0.084,0.3442,4.9,0,-4.5,-13.07,197.66
15% Si-SOC 50%-D4,50,15,4,3,67.3543,-0.2318,0.1124,0,-70,-4.5,-40.05,193.16
15% Si-SOC 50%-D5,50,15,5,4,-4.0541,0.0046,0.1169,-3.15,-26.4052,-7.65,-65.42,185.51
15% Si-SOC 50%-D6,50,15,6,5,0,0,0,-2.02,0,-9.67,0,175.84
15% Si-SOC 70%-D1,70,15,1,0,0,0,3.9226,0,0,0,0,207.61
15% Si-SOC 70%-D2,70,15,2,1,43.8257,-1.7191,2.2035,-19.56,82.362,-19.56,-8.88,188.05
15% Si-SOC 70%-D3,70,15,3,2,21.3139,-0.4696,1.7338,16.11,33.6232,-3.45,-1.99,184.6
15% Si-SOC 70%-D4,70,15,4,3,48.9068,-0.848,0.8859,1.16,2.6201,-2.29,-2.59,182.31
15% Si-SOC 70%-D5,70,15,5,4,-29.8411,0.2644,1.1502,0.06,27.8027,-2.23,-1.94,180.08
15% Si-SOC 70%-D6,70,15,6,5,0,0,0,0.62,0,-1.61,0,178.47
15% Si-SOC 90%-D1,90,15,1,0,0,0,12.6629,0,0,0,0,208.84
15% Si-SOC 90%-D2,90,15,2,1,76.4776,-9.6843,2.9786,-23.97,91.6562,-23.97,-8.05,184.87
15% Si-SOC 90%-D3,90,15,3,2,6.4968,-0.1935,2.7851,21.97,-77.5,-2,-0.72,182.87
15% Si-SOC 90%-D4,90,15,4,3,17.4518,-0.4861,2.2991,-1.55,46.1972,-3.55,-1.54,179.32
15% Si-SOC 90%-D5,90,15,5,4,-16.1876,0.3722,2.6712,1.64,20.9424,-1.91,-0.72,177.41
15% Si-SOC 90%-D6,90,15,6,5,0,0,0,0.4,0,-1.51,0,175.9
